LETO,KRAJ,PROIZVAJALEC,MODEL,OPOMBE,KOLICINA,TIP,LASTNIŠTVO,PODJETJE,VIRI
1969,Trzic,IBM,IBM 360/20,,1,e,lasten,Peko Tržič,"69/06, 71/08, 71/24, 73/13, RII/01"
1969,Celje,IBM,IBM 360/20,,1,e,lasten,AERO Celje,"68/08, 70/01, 70/27, 70/42,71/08, 71/19, 72/13, 77/53"
1969,Nova Gorica,IBM,IBM 360/25,,1,e,lasten,Meblo Nova Gorica + Skupščina občine Nova Gorica + Salonit Anhovo + Vozila Gorica + Primorje Ajdovščina,"69/26, 69/27, 70/12, 70/14, 71/08, 71/17, 71/49"
1969,Trbovlje,IBM,IBM 1130,,1,e,skupen,IBT Investicijski biro Trbovlje + Rudis,"69/10, 69/13, 69/21, 71/34"
1969,Ljubljana,IBM,IBM 1130,,1,e,lasten,IMFM Ljubljana,"IDPR/01, INF/03"
1969,Maribor,IBM,IBM 1130,,1,e,lasten,VTŠ Višja tehniška šola Maribor,"69/02, 76/08, IDPR/01"
1969,Novo Mesto,PHILIPS,PHILIPS Data 8000,,1,e,lasten,"Novoteks, Novo Mesto","69/16, 69/39, RII/01, 70/04, 70/22"
1969,Nova Gorica,neznan,neznan,manjši,1,e,lasten,SGP Splošno gradbeno podjetje Gorica,"70/14, 71/31, 69/30"
1970,Škofja Loka,IBM,IBM 360/20,,1,e,skupen,LTH Škofja Loka + Gorenjska predilnica + Jelovica + Sava Kranj + Loka + Kmetijsko gospodarstvo Škofja Loka + Alpina Žiri,"RII/01, 68/04, 70/11, 71/08, 72/09, 72/39, 73/03, 77/02"
1970,Celje,IBM,IBM 360/25,,1,e,skupen,EMO Celje + Železarna Štore + Kovinotehna Celje + TKO Zreče,"69/15, 70/01, 70/16, 68/08, 70/17, 71/08, 71/19, 72/13, 77/51, 77/53"
1970,Cerknica,IBM,IBM 360/25,,1,e,lasten,Brest Cerknica,"69/23, 71/08, 71/17"
1970,Ajdovscina,IBM,IBM 360/25,,1,e,lasten,Fructal Ajdovščina + LIP Bled,"70/10, 70/14, 70/29, 71/08"
1970,Zalec,IBM,IBM 360/20,,1,e,lasten,KK Žalec,"68/08, 69/20, 70/09, 71/08, 71/55, 72/04, 72/13, 76/02, 81/01"
1970,Kranj,IBM,IBM 360/25,,1,e,lasten,Iskra Elektromehanika Kranj,"70/03, 70/19, 70/37, 71/08"
1970,Ljubljana,IBM,IBM 360/30,,1,e,lasten,Iskra Commerce Ljubljana,70/37
1970,Sevnica,IBM,IBM 360/25,,1,e,lasten,Lisca Sevnica + Jutranjka Sevnica,"70/04, 71/08, 72/13, 74/36, RII/01"
1970,Ravne,KIENZLE,KIENZLE 6000,,1,e,lasten,Železarna Ravne,"71/04, 69/37, 71/25, 72/18, 73/09"
1970,Novo Mesto,PHILIPS,PHILIPS Data 8000,,1,e,lasten,Pionir Novo mesto,"69/18, PIO/01, 70/21, 70/22, 70/40"
1970,Nazarje,PHILIPS,PHILIPS Data 8000,,1,e,lasten,GLIN Gozdarstvo in lesna industrija Nazarje,73/06
1971,Celje,PHILIPS,PHILIPS Data 8000,,1,e,lasten,Ingrad Celje,71/40
1971,Novo mesto,PHILIPS,PHILIPS Data 8000,,1,e,lasten,Pionir Novo mesto,"PIO/01, 70/22"
1971,Koper,IBM,IBM 360/25,,1,e,najet,Tomos Koper + Interevropa + Luka Koper + stanovanjska podjetja + Delamaris + Občina Koper + Stavbenik Koper + Palace Hotel + Mehanotenika + Agraria,"71/08, 71/49, 72/11, 74/22, 77/19, RII/01, IEU/01"
1971,Ljubljana,IBM,IBM 360/25,,1,e,lasten,Mladinska knjiga Ljubljana + Delo,"71/08, 71/28"
1971,Novo mesto,IBM,IBM 360/25,,1,e,lasten,Krka Novo Mesto + Novoles Novo Mesto,"69/33, 69/34, 70/20, 71/08, 71/17, 72/07, 73/11"
1971,Ljubljana,IBM,IBM 360/25,,1,e,lasten,Lek Ljubljana,71/08
1971,Ljubljana,IBM,IBM 360/25,,1,e,lasten,Jugotekstil impex Ljubljana,"71/08, RII/01"
1971,Ljubljana,IBM,IBM 360/25,,1,e,lasten,PTT Ljubljana,"71/08, 74/43"
1971,Maribor,IBM,IBM 360/25,,1,e,lasten,EGM Elektrogospodarstvo Maribor,PKZ/01
1971,Ljubljana,IBM,IBM 360/40,,1,e,lasten,Intertrade računski center Ljubljana + Železarna Ravne + RZS Regionalna zdravstvena skupnost Ljubljana,"71/08, 71/29, 73/09, SDMI/03, 75/32"
1971,Kidricevo,IBM,IBM 1130,,1,e,lasten,TGA Tovarna glinice in aluminija Kidričevo,"70/41, 71/16, 72/19, 74/17"
1971,Ljubljana,IBM,IBM 1130,,1,e,lasten,RCU Računalniški center Univerze v Ljubljani,"UNI/01, FRI/01, INF/03"
1971,Ljubljana,CDC,CDC 1700,,2,e,lasten,RCU Računalniški center Univerze v Ljubljani,INF/03
1971,Ljubljana,CDC,CDC 6400,,1,e,lasten,RRC Republiški računski center Ljubljana + ZGP + GP Obnova + Ljubljanske mlekarne + Republiška izobraževalna skupnost,"70/36, 71/03, 71/43, 71/51"
1971,,neznan,6+x neznan,,,t,terminal,>> vsaj 6 deležnikov,
1971,Ljubljana,IBM,IBM 370/145,,2,e,lasten,Ljubljanska banka,"71/14, 78/11, 79/19"
1971,,neznan,nx neznan,,,t,terminal,>> v vseh ljubljanskih poslovalnicah,71/14
1971,Celje,IBM,IBM 370/135,,1,e,lasten,Zavod za socialno zavarovanje Celje + Zdravstveni dom Celje,"72/13, 77/53, SDMI/02"
1971,Ljubljana,CCL,CCL Key-Edit neznan,,1,e,lasten,Zavod za statistiko Ljubljana,"71/13, 71/30"
1971,Maribor,NIXDORF,NIXDORF neznan,,1,e,lasten,Skupščina občine Maribor,"PKZ/01, 71/36"
1971,Maribor,NIXDORF,NIXDORF,820/35?,1,e,lasten,Špedtrans Maribor,"71/11, 73/19, PKZ/01"
1971,Celje,NIXDORF,NIXDORF 820/25,,2,e,lasten,MERX Celje (poslovalnica Agropromet),"70/01, 71/06, 71/07, 72/13"
1971,Celje,IBM,IBM 3/10,,1,e,najet,MERX Celje + Socialno zavarovanje kmetov Celje + Rudarski šolski center Velenje,"72/13, 72/16"
1971,Jarse,IBM,IBM 3/10,,1,e,lasten,Induplati Jarše,"72/04, 75/03, RII/01"
1971,Ljubljana,BURROUGHS,BURROUGHS L2000,,1,e,lasten,Ilirija Ljubljana,76/46
1971,Maribor,PHILIPS,PHILIPS P359,,1,e,lasten,Svila Maribor,RII/01
