Leto,Datum,Napis na kaseti,ostalo,Oseba,skatla
2005,30.9.2005,OOOCON Interviews #2 Tim Bray Charles Schula,,"Tim Bray, Charles Schula",10_00oCON2005 Koper
2005,29.9.2005,"OOOCON Koper, gledališče Organizational and psychological determinants of ooffice adoption Salvatore Zappola & Maurizio Berti",,Salvatore Zappola & Maurizio Berti,10_00oCON2005 Koper
2005,29.9.2005,Pavel Janik Community report,,Pavel Janik,10_00oCON2005 Koper
2005,30.9.2005,OOoCON 2005 Ure living all over me Stephan Bergmann,,Stephan Bergmann,10_00oCON2005 Koper
2005,30.9.2005,OOOCON - Add-ons from production to end users (Laurent Godard) TCIE 00:42:45,,Laurent Godard,10_00oCON2005 Koper
2005,30.9.2005,OOOCON - Foss participation in te developing world Danese Cooper 00:59:30 TCIE,,Danese Cooper,10_00oCON2005 Koper
2005,30.9.2005,OO.org.com OOo.org and the AMD G4 platform Jan Holesovsky,,Jan Holesovsky,10_00oCON2005 Koper
2005,29.9.2005,"Koper, gledališče Uvod OOOCON + Tim Bray",,Tim Bray,10_00oCON2005 Koper
2005,29.9.2005,Andre Schnabel Entering the community,,Andre Schabel,10_00oCON2005 Koper
2005,29.9.2005,OOoConferenca Deploying OOo.org extensions through UNO packages Paulo Mantovani,,Paulo Mantovani,10_00oCON2005 Koper
2005,29.9.2005,"Canon kamero, OpenOffice.org Conference 2005 Eric Bachard - OOO OSX PORT",,Eric Bachard,10_00oCON2005 Koper
2005,29.9.2005,OOOCON Eike Rathke Localication,,Eike Rathke,10_00oCON2005 Koper
2005,30.9.2005,"OOo development: next steps, next level Mathias Bauer",,Mathias Bauer,10_00oCON2005 Koper
2005,30.9.2005,"OOocom OO.org - slow, bloatool? Michael Meeks",,Michael Meeks,10_00oCON2005 Koper
2005,29.9.2005,"OOCON Koper, gledališče Introducion to openoffice.org Macro development Ian Craig LAurenson",,Ian Craig Laurenson,10_00oCON2005 Koper
2005,30.9.2005,OOOCON Zaključna okrogla miza,,,10_00oCON2005 Koper
2005,29.9.2005,"Community Neznan, nenajavljen Norman 11' Daniel Nabor - Language tool",,Daniel Nabor,10_00oCON2005 Koper
2005,29.9.2005,Daniel Nabor - Lingucomponent Adam Rambousek - Localisation OOoCON 2005,,Adam Rambousek,10_00oCON2005 Koper
2005,30.9.2005,KEY 1/2 Should I adopt OOo? Prof Giancarla Succi OOoconf '05,,Giancarla Succi,10_00oCON2005 Koper
2005,29.9.2005,OUT OF RECORD! Imagining an OOo foundation OOOCON '05 gledališče,,,10_00oCON2005 Koper
2005,29.9.2005,"OOOCON Koper, gledališče Cambodia - re-computerization of the country based on office 2.0 Janer Sola",,Janer Sola,10_00oCON2005 Koper
2005,29.9.2005,The state of the project Louis Suarez - Potts,,Louis Suarez - Potts,10_00oCON2005 Koper
2005,29.9.2005,1. Localising OpenOffice.org Monica Badia 2. The localisation process Alessandro Cattelan,,Alessandro Cattelan,10_00oCON2005 Koper
2005,29.9.2005,OOOCON Florian Reuter Usage of open document Interfales in openoffice writel (?,,Florian Reuter,10_00oCON2005 Koper
2005,1.3.2005,"SU Flash novosti, 35 min",,,12_Spletne urice
2005,5.10.2005,"SU Php v času terorizma, Jure Koren",,Jure Koren,12_Spletne urice
2005,15.3.2005,"Hacking X-box, Jens Kühnel, 1/2",,Jens Kűhnel,12_Spletne urice
2005,15.3.2005,"Hacking X-box, Jens Kühnel, 2/2",,Jens Kűhnel,12_Spletne urice
2005,2.3.2005,Okrogla miza SW patents 1,,,12_Spletne urice
2005,2.3.2005,Okrogla miza SW patents 2,,,12_Spletne urice
2005,18. 4. 2005,Tori: Cinelerra 3-1 cela,,Andraž Tori,12_Spletne urice
2005,13.12.2005,"Žiga von Ljudmila: Prihodnost CMS, 1/2, cela",,Ziga Kranjec,12_Spletne urice
2005,13.12.2005,"Žiga von Ljudmila: Prihodnost CMS, 2/2, cela",,Ziga Kranjec,12_Spletne urice
2005,16.2.2005,"SU: Ajax by Fry, Zakaj sem obupal nad Ajaxom, cela, 1/2",,Marko Mrdjenovic,12_Spletne urice
2005,16.2.2005,"SU: Fry: Ajax ( Zakaj sem obupal nad Ajaxom), 10 min, 2/2",,Marko Mrdjenovic,12_Spletne urice
2005,28.2.2005,"Blender delavnica, Matija Abram, 7 min, 2/2",,Matija Abram,12_Spletne urice
2005,14.12.2005,"SU: Spletne storitve, 0-0:35",,,12_Spletne urice
2005,9.11.2005,"Spletne urice: Virtualne komune, 0-34 min",,,12_Spletne urice
2005,8.12.2005,"Okrogla miza: Direktiva o retenciji komunikacijskih podatkov, cela, 1/2",,,12_Spletne urice
2005,23.12.2005,"Ojdius, drugi del",,,13_Predstavitev pipe
2005,3.6.2005,"Dasa, 3. vaja, sanomal(?), Boštjan, 27m",,,13_Predstavitev pipe
2005,9.10.2005,Ojdipus,,,13_Predstavitev pipe
2005,10.10.2005,"NAP - Kako predstaviti računalniško umetnost, 00:46:50, TCIE",,,13_Predstavitev pipe
2005,1.7.2005,Ana Desetnica,,,13_Predstavitev pipe
2005,25.3.2005,"Aleš Košir (Hevreka), Antene za brezžična omrežja WiFi, 1. del, 100",,Aleš Košir,13_Predstavitev pipe
2005,25.5.2005,"0:38, Mreža multimedijskih centrov Slovenije, snemal Peter Č., 2. del",,,13_Predstavitev pipe
