navodila,,vrsta,proizvajalec,ime,širina,dolžina,višina,leto,serijska številka,polica,popisovalec,stanje,zgodovina
,,Nosilec podatkov,"SyQuest Technology, Inc., ZDA",3.5 inčna disketa SyQuest (270MB),10,10,1,1994,709F462,D4,mateja,Disketa je shranjena v plastičnem etuiju. Na njej je nalepljen listek z napisom: E: Razen KPL.,
,,Vnosna naprava,"Numonics Corp., ZDA",Risalna tabla GraphicMaster (model: 2210-0.30.C),38,39,2,,C-30-B-MT-26 12155489,D5,mateja,Tabla za risanje na podstavku. Na zadnji strani konektor za povezavo z računalnikom. Zraven pisalo in kurzor. Na podstavku zadaj nalepka proizvajalca.,
,,Vnosna naprava,,Risalna tabla,49,38,3,1989,,D5,mateja,Tabla za risanje. Priklopljen kabel za priklop na računalnik. Zraven stilus. Shranjen v plastični vreči.,
,,Komponenta,"Zilog Inc., ZDA",Internet konverter za TV (model: ZTOAIB-STD01),24,18,4,,,D5,mateja,"S to napravo si lahko TV povezal na internet. Poleg tudi napajalnik, daljinec, avdio/video kabeel, bel priključek za telefonsko žico, kabel za telefon, S-video kabel. Na zadnji strani priključki za internet kabel, TV, miško, tipkovnico.",
,,Vnosna naprava,"Sejin Electron Inc., Južna Koreja",Tipkovnica (model: SWK: 8630),29,15,2,,7KAB003716,D5,mateja,"Manjša tipkovnica črne barve. Zgoraj logo Zilog. Mogoče se je uporabljala skupaj z konverterjem, ki je povezal internet na TV.",
,,Mrežna oprema,Jaht,Usmerjevalnik EA-2104G,16,10,3,,,D6,mateja,ADSL širokopasovni usmerjevalnik. Spredaj sinje modre barve. Zraven tudi kabel za napajanje.,
,,Igralna konzola,"Sega Enterprises Ltd., Japonska",Igralna konzola (model: HGG-3210),21,11,3,,P51096109,D2,mateja,Igralna konzola. Na zadnji strani konektor za igrice - v njem kartuša za igrico Triple Trouble. Lev pokrovček prostorčka za baterije prilepljen s selotejpom.,
,,Igralna konzola,"Sony Computer Entertainment Inc., Japonska",Playstation 3 (model: CECHL04),27,33,8,,,D2,mateja,Velika črna konzola z napisom Playstation 3. Na desni strani CD enota. Nalepka Intel Inside in NLB Vita. Zraven tudi kabel za napajanje in še en. ,
,,Igralna konzola,"Sony Computer Entertainment Inc., Japonska",Kontroler  (model: CECHZC2E),16,10,6,,,D2,mateja,Lepo ohranjen. Zraven tudi kabel za priklop na konzolo. Paše skupaj z igralno konzolo.,
,,Programski paket,"Sony Computer Entertainment Inc., Japonska",Računalniška igra za PS3,,,,,ICO & Shadow of the Colossus,D2,mateja,CD,
,,Programski paket,"Sony Computer Entertainment Inc., Japonska",Računalniška igra za PS3,,,,,Final Fantasy XIII,D2,mateja,CD,
,,Komponenta,"IBM, ZDA",Deli kontrolne plošče za IBM 2821,14,13,6,,,D7,mateja,"Feritni pomnilniki na vezju, čipi. Zgoraj nalepka IBM 2821 - neoriginalna.",
,,Komponenta,"IBM, ZDA",Deli za IBM 3480,18,14,3,,,D7,mateja,Čipi in stikala na zelenem vezju. Zgoraj nalepka IBM 3480.,
