navodila,,vrsta,proizvajalec,ime,širina,dolžina,višina,leto,serijska številka,število delov,popisovalec,stanje,zgodovina
,,racunalnik,hewlett packard,712/60,6,40,40,1994,3342g08767,,bostjan,noga ga drzi pokonci,ff
,,tiskalnik,hewlett packard,laserjet 5l,30,25,25,1994,cnvm475465,,bostjan,nalepka ekonomske fakultete,gortan
,,monitor,hewlett packard,a4032a,30,40,30,1994,jp01016201,,bostjan,bp,gortan
,,racunalnik,autronic,486/40,15,35,30,,9421004,,bostjan,"nalepka ekonomske fakultete, ""assembled in slo""",gortan
,,vnosna naprava,atari,miska,,,,,a1 5184559,,bostjan,,ff
,,vnosna naprava,atari,miska,,,,,p1575074529,,bostjan,pocast kabel,ff
,,vnosna naprava,atari,miska,,,,,a1 5027042,,bostjan,olupljen konektor,ff
,,vnosna naprava,atari,miska,,,,,a2935338243,,bostjan,bolj siva,ff
,,racunalnik,ibm,netvista,,,,,kdcc2wx,,bostjan,ob strani pise klinicni center,
,,monitor,elektronika velenje,,,,,,,,bostjan,"porumenel, spredaj napis low radiation na predalcku",bostjan
,,komponenta,commodore,napajalnik,11,16,9,,391029-03,,mateja,"Lepo ohranjen, zadaj črno stikalo za vklop. Počiščen (Aleš Erman)",
,,komponenta,Atari,napajalnik,8,12,7,1985-4,T40/E,,mateja,"Lepo ohranjen, črn. Nemški. Na zadnji strani nalepka 85016.",
,,komponenta,Atari,napajalnik,8,12,7,1986-1,T40/E,,mateja,"Lepo ohranjen, črn. Nemški.",
,,komponenta,Atari,napajalnik,9,18,7,1985-4,T40/E,,bostjan,"Lepo ohranjen, črn. Nemški. Na zadnji strani nalepka 85019. Na strani pa še nalepka z 1679 (že malce odlepljena)",
,,komponenta,Astec,napajalnik,8,16,5,1991-2,897048459,,mateja,Lepo ohranjen.,
,,komponenta,commodore,napajalnik za A500,11,16,8,,312 503-03,,mateja,"Lepo ohranjen, zadaj črno stikalo za vklop. Klasične barve.",
,,komponenta,commodore,napajalnik za c128,11,16,8,1987-1,310 416-03,,mateja,"Zelo umazan, poškodovan.",
,,komponenta,commodore,Adapter za TV A520,5,14,3,,MT2 019256,,mateja,"Zelo lep, z enim kablom. Zadaj nalepka proizvajalca.",
,,komponenta,Apple,napajalnik za Macintosh Powerbook M5140Z,6,10,5,,160185,,mateja,"Dobro ohranjen. Se uporablja za modele M5409, M5416, M1506, M3050 in M3052.",
,,komponenta,Apple,napajalnik za Macintosh Powerbook M3037,6,13,4,,1975341824,,mateja,Dobro ohranjen.,
,,vnosna naprava,Atari,Joystick CX40,9,9,12,,73 PI,,mateja,"Lepo ohranjen, s kablom, na katerem na konektorju za v računalnik piše Atari, Taiwan in 73 PI.",
,,vnosna naprava,Atari,Joystick CX40,9,9,12,,78 PI,,mateja,"Lepo ohranjen, s kablom, na katerem na konektorju za v računalnik piše Atari, Taiwan in 78 PI.",
,,vnosna naprava,Atari,Joystick CX40,9,9,12,,GB 9,,mateja,"Lepo ohranjen, s kablom, na katerem na konektorju za v računalnik piše Atari, Taiwan in GB 9.",
,,vnosna naprava,Atari,Joystick CX40,9,9,12,,GB 48,,mateja,"Lepo ohranjen, s kablom, na katerem na konektorju za v računalnik piše Atari, Taiwan in GB 48.",
,,vnosna naprava,Atari,Joystick CX40,9,9,12,,FS 2,,mateja,"Lepo ohranjen, s kablom, na katerem na konektorju za v računalnik piše Atari, Taiwan in FS 2.",
,,vnosna naprava,Atari,Joystick CX40,9,9,12,,15,,mateja,"Lepo ohranjen, s kablom, na katerem na konektorju za v računalnik piše Atari, Taiwan in 15.",
,,vnosna naprava,,Joystick,11,11,18,,GB 3,,mateja,"Lepo ohranjen, s kablom, na katerem na konektorju piše GB 3",bil v škatli skupaj z ZX Spectrumom inv. št. 264.
,,vnosna naprava,Kempston Micro Electronics Ltd.,Vmesnik za joystick,10,8,1,,,,mateja,Lepo ohranjen. Idealno se vtakne na joystick s prejšnje vrstice. ,bil v škatli skupaj z ZX Spectrumom inv. št. 264.
,,vnosna naprava,Kempston Micro Electronics Ltd.,Vmesnik za joystick,10,8,1,,,,mateja,Lepo ohranjen. Na zadnji strani nalepka proizvajalca.,
,,vnosna naprava,SVI,Joystick Quickshot (model 318-102),13,10,18,,,,mateja,"Lepo ohranjen. Na spodnji strani ime proizvajalca, model. ",
,,vnosna naprava,Anitech,Joystick,10,9,17,,,,mateja,Lepo ohranjen.,
,,vnosna naprava,QJ,Joystick QJ I Turbo,11,9,16,,GB 101,,mateja,"Lepo ohranjen. Na spodnji strani ime proizvajalca, model. ",
,,vnosna naprava,SVI,Joystick Quickshot (model Quickshot I),11,9,16,,,,mateja,"Lepo ohranjen. Zgoraj piše Quickshot. Na spodnji strani ime proizvajalca, model. ",VH00042
,,vnosna naprava,,Joystick,13,8,16,,,,mateja,Lepo ohranjen. S kablom mavričastih barv. Zgoraj piše ADS. Spodaj pobarvan z belo. ,
,,vnosna naprava,,Joystick,13,8,16,,,,mateja,Lepo ohranjen. S kablom mavričastih barv. Zgoraj piše ADS.,
,,vnosna naprava,Boeder,Joystick,10,9,11,,,,mateja,Lepo ohranjen. Na spodnji strani nalepka proizvajalca. Res lep primerek. S kablom.,
