vrsta,proizvajalec,program,verzija,leto,stanje,OS,medij,avtor,popisovalec
Računalniška igra,Tengen,Pit-Fighter,,1991,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Interplay,Boogerman: A Pick and Flick Adventure,,1994,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Acclaim Entertainment,Virtual Bart,,1994,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Interplay,The Lost Vikings,,1993,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sega,The Adventures of Batman & Robin,,1995,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Electronic Arts,Road Rash,,1991,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Psygnosis,Wiz'n'Liz,,1993,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Sega,Super Monaco GP,,1991,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Absolute Entertainment,The Adventures of Rocky and Bullwinkle and Friends,,1993,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Acclaim Entertainment,T2: The Arcade Game,,1992,rabljeno,Sega Genesis,ROM cart,,Matej
Računalniška igra,Tengen,Ms. Pac-Man,,1991,rabljeno,Sega Genesis,ROM cart,,Matej
