vrsta	proizvajalec	program	verzija	leto	stanje	OS	medij	avtor
operacijski sistem	microsoft	ms-dos	3.3	1987	rabljeno		manjka	
operacijski sistem	microsoft	windows	3.1	1992	rabljeno	dos	manjka 3" floppy	
operacijski sistem	sunsoft	solaris	2.5.1	1996	rabljeno	sparc		
operacijski sistem	microsoft	windows nt server	3.5	1994	rabljeno			
programska oprema	computer associates	ca-superproject		1991	rabljeno	dos		
programska oprema	lotus	domino	4.6	1997	rabljeno	multi		
programska oprema	corel	office professional		1996	rabljeno	win		
programska oprema	powersoft	watcom c/c++	10.6	1995	rabljeno	win 95		
programska oprema	traveling software	laplink for windows 95	7	1996	rabljeno	win 95		
programska oprema	netobjects	fusion	2	1997	rabljeno	win 95 nt		
programska oprema	danware	netop	v6		rabljeno	win 98, NT		
programska oprema	white pine	CU-seeMee	2.0	1996	rabljeno	win, mac		
programska oprema	microsoft	fox pro	2.6	1994	rabljeno			
programska oprema	novell	intranetware for small business			poškodovano			
programska oprema	citrix	winframe	1.8	1999	original demonstrational copy			
programska oprema	novell	netware	3.12	1994	rabljeno			
programska oprema	clark development	pcboard	14.5a	1992	rabljeno			
