vrsta,proizvajalec,program,verzija,leto,stanje,OS,medij,avtor,popisovalec
Računalniška igra,Nintendo,Pro Wrestling,,,,nes,ROM cart,,marko
Računalniška igra,Parker Brothers,Heavy Shreddin',,1985,,nes,ROM cart,,marko
Računalniška igra,LJN,The Punisher,,1990,,nes,ROM cart,,marko
Računalniška igra,Mindscape Inc.,Dirty Harry,,1990,,nes,ROM cart,,marko
Računalniška igra,Mindscape Inc.,RoadBlasters,,1989,,nes,ROM cart,,marko
Računalniška igra,Hudson Soft,Adventure Island II,,1985,,nes,ROM cart,,marko
Računalniška igra,Tengen,Pac-Man,,,,nes,ROM cart,,marko
Računalniška igra,American Technos Inc.,River City Ransom,,1985,,nes,ROM cart,,marko
Računalniška igra,Nintendo,Mario Paint,,1992,,snes,ROM cart,,marko
Računalniška igra,Titus,The Blues Brothers,,,,snes,ROM cart,,marko
Računalniška igra,Capcom,Super Ghouls 'n Ghosts,,1991,,snes,ROM cart,,marko
Računalniška igra,Interplay,Out of this World,,1991,,snes,ROM cart,,marko
Računalniška igra,Konami,Gradius III,,1991,,snes,ROM cart,,marko
Računalniška igra,Nintendo,StarFox,,,,snes,ROM cart,,marko
Računalniška igra,Nintendo,Super Scope 6,,1991,,snes,ROM cart,,marko
Računalniška igra,JVC,Indiana Jones! Greatest Adventures,,1991,,snes,ROM cart,,marko
Računalniška igra,Enix,Soul Blazer,,1991,,snes,ROM cart,,marko
Računalniška igra,T&E Soft,Waialae Country Club,,1991,,snes,ROM cart,,marko
Računalniška igra,Parker Brothers,Clue,,1991,,snes,ROM cart,,marko
Računalniška igra,Hi Tech Expressions,We're Back! A Dinosaur's Story,,1992,,snes,ROM cart,,marko
Računalniška igra,Nintendo,Donkey Kong Country,,1992,,snes,ROM cart,,marko
Računalniška igra,Nintendo,Yoshi's Safari,,1992,,snes,ROM cart,,marko
Računalniška igra,Nintendo,Donkey Kong Country 2,,1992,,snes,ROM cart,,marko
Računalniška igra,T HQ Software,The Ren & Stimpy Show Veediots!,,1992,,snes,ROM cart,,marko
Računalniška igra,Taito,Kiwi Kraze,,1985,,nes,ROM cart,,marko
Računalniška igra,Mindscape Inc.,Days of Thunder,,1990,,nes,ROM cart,,marko
Računalniška igra,Konami,Gradius,,1985,,nes,ROM cart,,marko
Računalniška igra,Taito,Elevator Action,,,,nes,ROM cart,,marko
Računalniška igra,Taito,Indiana Jones and the Last Crusade,,1985,,nes,ROM cart,,marko
Računalniška igra,Acclaim,Othello,,1985,,nes,ROM cart,,marko
Računalniška igra,SNK,Guerrilla War,,1985,,nes,ROM cart,,marko
Računalniška igra,Bunch Games,Tagin' Dragon,,,,nes,ROM cart,,marko
Računalniška igra,Nintendo,Vegas Stakes,,1992,,snes,ROM cart,,marko
Računalniška igra,Nintendo,Killer Instinct,,1992,,snes,ROM cart,,marko
Računalniška igra,LJN,Maximum Carnage,,1992,,snes,ROM cart,,marko
Računalniška igra,Williams,Doom,,1992,,snes,ROM cart,,marko
Računalniška igra,Acclaim,Scooby-Doo Mystery,,1995,,snes,ROM cart,,marko
Računalniška igra,Nintendo,Pilotwings,,1991,,snes,ROM cart,,marko
Računalniška igra,Capcom,The Magical Quest starring Mickey Mouse,,1991,,snes,ROM cart,,marko
Računalniška igra,Nintendo,Super Mario All Stars,,1992,,snes,ROM cart,,marko
Računalniška igra,Virgin,The Lion King,,1992,,snes,ROM cart,,marko
Računalniška igra,T HQ Software,Pit-Fighter,,1991,,snes,ROM cart,,marko
Računalniška igra,Tecmo,Super NBA Basketball,,1992,,snes,ROM cart,,marko
Računalniška igra,Tradewest,Double Dragon The Shadow Falls,,1992,,snes,ROM cart,,marko
Računalniška igra,Sony,Last Action Hero,,,,snes,ROM cart,,marko
Računalniška igra,Bunch Games,Castle Deceit,,,,nes,ROM cart,,marko
Računalniška igra,The Software Toolworks,Mario's Time Machine,,1992,,snes,ROM cart,,marko
Računalniška igra,Nintendo,Super Mario RPG Legend of the Seven Stars,,1992,,snes,ROM cart,,marko
Računalniška igra,Tradewest,Battletoads/Double Dragon,,1992,,snes,ROM cart,,marko
Računalniška igra,Enix,Dragon Warrior III,,1985,,nes,ROM cart,,marko
Računalniška igra,Acclaim,Arch Rivals,,1985,,nes,ROM cart,,marko
Računalniška igra,Acclaim,Knight Rider,,1985,,nes,ROM cart,,marko
Računalniška igra,Hi Tech Expressions,Sesame Street: Countdown,,1985,,nes,ROM cart,,marko
Računalniška igra,Kemco Seika,Rescue: The Embassy Mission,,1985,,nes,ROM cart,,marko
Računalniška igra,Electronic Arts,Immortal,,1985,,nes,ROM cart,,marko
Računalniška igra,Romstar,Championship Bowling,,1985,,nes,ROM cart,,marko
Računalniška igra,Bandai,Dr. Jekyll and Mr. Hyde,,1988,,nes,ROM cart,,marko
Računalniška igra,Sofel,Casino Kid,,1985,,nes,ROM cart,,marko
Računalniška igra,Sun Soft,Journey to Silius,,1985,,nes,ROM cart,,marko
Računalniška igra,Hot B,Shingen the Ruler,,1990,,nes,ROM cart,,marko
Računalniška igra,Capcom,Trojan,,1985,,nes,ROM cart,,marko
Računalniška igra,Mindscape Inc.,Gauntlet II,,1990,,nes,ROM cart,,marko
Računalniška igra,Nintendo,Super Team Games,,1985,,nes,ROM cart,,marko
Računalniška igra,Data East,BurgerTime,,1985,,nes,ROM cart,,marko
Računalniška igra,Activision,Predator,,1985,,nes,ROM cart,,marko
Računalniška igra,Konami,Top Gun,,1987,,nes,ROM cart,,marko
Računalniška igra,Konami,The Goonies II,,1985,,nes,ROM cart,,marko
Računalniška igra,Rare,Slalom,,1986,,nes,ROM cart,,marko
Računalniška igra,Sofel,Klash Ball,,1985,,nes,ROM cart,,marko
Računalniška igra,Culture Brain,Baseball Simulator 1.000,,1985,,nes,ROM cart,,marko
Računalniška igra,Tecmo,NBA Basketball,,1992,,nes,ROM cart,,marko
Računalniška igra,FCI,Phantom Fighter,,1985,,nes,ROM cart,,marko
Računalniška igra,Camerica,Micro Machines,,,,nes,ROM cart,,marko
Računalniška igra,Nintendo,The Legend of Zelda,,,,nes,ROM cart,,marko
Računalniška igra,Nintendo,The Adventure of Link,,,,nes,ROM cart,,marko
Računalniška igra,Camerica,Mig 29 Soviet Fighter,,,,nes,ROM cart,,marko
Računalniška igra,Camerica,Bignose the Caveman,,,,nes,ROM cart,,marko
Računalniška igra,Viacom,MTV's Beavis and Butt-head,,1992,,snes,ROM cart,,marko
Računalniška igra,Virgin,Robocop versus the Terminator,,1993,,snes,ROM cart,,marko
Računalniška igra,Nintendo,Metal Combat,,1992,,snes,ROM cart,,marko
Računalniška igra,Nintendo,Super Metroid,,1992,,snes,ROM cart,,marko
Računalniška igra,Capcom,Street Fighter II Turbo,,1992,,snes,ROM cart,,marko
Računalniška igra,Capcom,Mega Man X,,1992,,snes,ROM cart,,marko
Računalniška igra,Absolute Entertainment,Race America,,1985,,nes,ROM cart,,marko
Računalniška igra,Ultra Games,Mission: Impossible,,1985,,nes,ROM cart,,marko
Računalniška igra,Mindscape Inc.,Mad Max,,1990,,nes,ROM cart,,marko
Računalniška igra,Taito,Wrath of the Black Manta,,1985,,nes,ROM cart,,marko
Računalniška igra,Mattel,Super Glove Ball,,1990,,nes,ROM cart,,marko
Računalniška igra,Mindscape Inc.,720°,,1989,,nes,ROM cart,,marko
Računalniška igra,Hudson Soft,Faxanadu,,1988,,nes,ROM cart,,marko
Računalniška igra,"American Game Cartridges, Inc.",ShockWave,,,,nes,ROM cart,,marko
Računalniška igra,Konami,Contra,,1985,,nes,ROM cart,,marko
Računalniška igra,Data East,Werewolf: The Last Warrior,,1990,,nes,ROM cart,,marko
Računalniška igra,Tradewest,John Elway's Quarterback,,1985,,nes,ROM cart,,marko
Računalniška igra,Nintendo,Super Mario Bros. + Duck Hunt,,1985,,nes,ROM cart,,marko
Računalniška igra,Nintendo,Mike Tyson's Punch-out!!,,,,nes,ROM cart,,marko
Računalniška igra,Ultra Games,Skate or Die,,1985,,nes,ROM cart,,marko
Računalniška igra,Electronic Arts,Skate or Die 2,,1990,,nes,ROM cart,,marko
Računalniška igra,Hal,Joust,,1985,,nes,ROM cart,,marko
Računalniška igra,Ultra Games,Q*bert,,1985,,nes,ROM cart,,marko
Računalniška igra,Bandai,Shooting Range,,1989,,nes,ROM cart,,marko
Računalniška igra,Taito,Qix,,1985,,nes,ROM cart,,marko
Računalniška igra,Data East,Dash Galaxy in the Alien Asylum,,1985,,nes,ROM cart,,marko
Računalniška igra,Bandai,Monster Party,,1989,,nes,ROM cart,,marko
Računalniška igra,Tecmo,Ninja Gaiden,,1985,,nes,ROM cart,,marko
Računalniška igra,Capcom,Chip 'n Dale Rescue Rangers,,1985,,nes,ROM cart,,marko
Računalniška igra,Nintendo,Metroid,,1985,,nes,ROM cart,,marko
Računalniška igra,Taito,Target: Renegade,,1985,,nes,ROM cart,,marko
Računalniška igra,Konami,Jack Nicklaus' Greatest 18 holes of major championship golf,,1985,,nes,ROM cart,,marko
Računalniška igra,Activision,Ghostbusters,,,,nes,ROM cart,,marko
Računalniška igra,Rare,Cobra Triangle,,1985,,nes,ROM cart,,marko
Računalniška igra,Nintendo,Tetris 2,,1985,,nes,ROM cart,,marko
Računalniška igra,Hi Tech Expressions,Barbie,,1985,,nes,ROM cart,,marko
Računalniška igra,Irem Corp.,Super R-Type,,1991,,snes,ROM cart,,marko
Računalniška igra,Capcom,Street Fighter II,,1991,,snes,ROM cart,,marko
Računalniška igra,JVC,Super Return of the Jedi,,1992,,snes,ROM cart,,marko
Računalniška igra,Gametek,Nigel Mansell's World Championship Racing,,1993,,snes,ROM cart,,marko
Računalniška igra,Konami,Batman Returns,,1992,,snes,ROM cart,,marko
Računalniška igra,Acclaim,NBA Jam,,1992,,snes,ROM cart,,marko
Računalniška igra,Capcom,Street Fighter 2010,,1985,,nes,ROM cart,,marko
Računalniška igra,Kemco Seika,North and South,,1985,,nes,ROM cart,,marko
Računalniška igra,Hal,Millipede,,1985,,nes,ROM cart,,marko
Računalniška igra,Nintendo,Yoshi's Cookie,,1985,,nes,ROM cart,,marko
Računalniška igra,MiltonBradley,Time Lord,,1985,,nes,ROM cart,,marko
Računalniška igra,Nintendo,Golf,,,,nes,ROM cart,,marko
Računalniška igra,Nintendo,Urban Champion,,,,nes,ROM cart,,marko
Računalniška igra,Vic Tokai,Golgo 13,,1985,,nes,ROM cart,,marko
Računalniška igra,Kemco,Top Gear,,1992,,snes,ROM cart,,marko
Računalniška igra,Capcom,Saturday Night Slam Masters,,1992,,snes,ROM cart,,marko
Računalniška igra,Sun Soft,Road Runner's Death Valley Rally,,1991,,snes,ROM cart,,marko
Računalniška igra,Electronic Arts,Madden 95,,1992,,snes,ROM cart,,marko
Računalniška igra,Nintendo,F-Zero,,1992,,snes,ROM cart,,marko
Računalniška igra,Konami,Super Castlevania IV,,1992,,snes,ROM cart,,marko
Računalniška igra,Nintendo,Super Star Wars,,1992,,snes,ROM cart,,marko
Računalniška igra,Absolute Entertainment,Super Battletank: War in the Gulf,,1991,,snes,ROM cart,,marko
Računalniška igra,Konami,Biker Mice from Mars,,1992,,snes,ROM cart,,marko
Računalniška igra,Electronic Arts,John Madden Football,,1991,,snes,ROM cart,,marko
Računalniška igra,Spectrum HoloByte,Star Trek: The Next Generation,,1992,,snes,ROM cart,,marko
Računalniška igra,Mindscape Inc.,The Terminator,,1992,,snes,ROM cart,,marko
Računalniška igra,Electronic Arts,Madden 96,,1992,,snes,ROM cart,,marko
Računalniška igra,Nintendo,Super Punch-Out!!,,1992,,snes,ROM cart,,marko
Računalniška igra,Capcom,U.N. Squadron,,1991,,snes,ROM cart,,marko
Računalniška igra,Acclaim,Porky Pig's Haunted Holiday,,1995,,snes,ROM cart,,marko
Računalniška igra,JVC,Super Empire Strikes Back,,,,snes,ROM cart,,marko
Računalniška igra,Electronic Arts,NBA Live 96,,1992,,snes,ROM cart,,marko
Računalniška igra,Williams,Mortal Kombat 3,,1992,,snes,ROM cart,,marko
Računalniška igra,Nintendo,Yoshi's Island,,1992,,snes,ROM cart,,marko
Računalniška igra,Konami,Contra III,,1991,,snes,ROM cart,,marko
Računalniška igra,LJN,NFL Quarterback Club,,1992,,snes,ROM cart,,marko
Računalniška igra,Camerica,Bee 52,,,,nes,ROM cart,,marko
Računalniška igra,Color Dreams,Master Chu and the Drunkard Hu,,,,nes,ROM cart,,marko
Računalniška igra,Nintendo,Stack-up,,,,nes,ROM cart,,marko
Računalniška igra,Acclaim,Tiger-Heli,,,,nes,ROM cart,,marko
Računalniška igra,Nintendo,Tetris,,1985,,nes,ROM cart,,marko
Računalniška igra,JVC,Star Wars,,1985,,nes,ROM cart,,marko
Računalniška igra,FCI,Ultima Exodus,,1985,,nes,ROM cart,,marko
Računalniška igra,Acclaim,George Foreman's KO Boxing,,1985,,nes,ROM cart,,marko
Računalniška igra,Natsume,Spanky's Quest,,1991,,snes,ROM cart,,marko
Računalniška igra,Ocean,Jurassic Park,,1985,,nes,ROM cart,,marko
Računalniška igra,LJN,Friday the 13th,,1988,,nes,ROM cart,,marko
Računalniška igra,Tecmo,Ninja Gaiden II,,1990,,nes,ROM cart,,marko
Računalniška igra,Nintendo,Super Mario Bros.,,1985,,nes,ROM cart,,marko
Računalniška igra,Electronic Arts,Bill Walsh College Football,,1992,,snes,ROM cart,,marko
Računalniška igra,KOEI,Romance of the Three Kingdoms II,,1992,,snes,ROM cart,,marko
Računalniška igra,Kemco,X Zone,,1991,,snes,ROM cart,,marko
Računalniška igra,Jaleco,Ryne Sandberg plays Super Bases Loaded,,1991,,snes,ROM cart,,marko
Računalniška igra,Acclaim,Mortal Kombat,,1992,,snes,ROM cart,,marko
Računalniška igra,Nintendo,Super Mario Kart,,1991,,snes,ROM cart,,marko
Računalniška igra,U.S. Gold,Winter Olympic Games,,1992,,snes,ROM cart,,marko
Računalniška igra,Kaneko,Chester Cheetah: Too Cool to Fool,,1991,,snes,ROM cart,,marko
Računalniška igra,Renovation Products,Doomsday Warrior,,1992,,snes,ROM cart,,marko
Računalniška igra,Konami,Zombies Ate My Neighbors,,1992,,snes,ROM cart,,marko
Računalniška igra,Electronic Arts,Madden 94,,1992,,snes,ROM cart,,marko
Računalniška igra,Playmates,Earthworm Jim,,1994,,snes,ROM cart,,marko
Računalniška igra,Kemco,Top Gear 3000,,1992,,snes,ROM cart,,marko
Računalniška igra,Sun Soft,Looney Tunes B-Ball,,,,snes,ROM cart,,marko
Računalniška igra,Acclaim,WrestleMania: The Arcade Game,,1992,,snes,ROM cart,,marko
Računalniška igra,Nintendo,Super Mario World,,1992,,snes,ROM cart,,marko
Računalniška igra,Data East,ABC Monday Night Football,,,,snes,ROM cart,,marko
Računalniška igra,Camerica,The Ultimate Stuntman,,,,nes,ROM cart,,marko
Računalniška igra,LJN,Super WrestleMania,,1992,,snes,ROM cart,,marko
Računalniška igra,Nintendo,Donkey Kong Country 3,,1992,,snes,ROM cart,,marko
Računalniška igra,DTMC,Lester the Unlikely,,1992,,snes,ROM cart,,marko
Računalniška igra,Bandai,Mighty Morphin Power Rangers,,1992,,snes,ROM cart,,marko
Računalniška igra,Nintendo,The Legend of Zelda: A Link to the Past,,1992,,snes,ROM cart,,marko
Računalniška igra,Konami,Lethal Enforcers ,,1992,,snes,ROM cart,,marko
Računalniška igra,Gametek,Hollywood Squares,,1988,,nes,ROM cart,,marko
Računalniška igra,Nintendo,Battle Clash,,1992,,snes,ROM cart,,marko
Računalniška igra,Acclaim,Krusty's Super Fun House,,1992,,snes,ROM cart,,marko
Računalniška igra,Gametek,Wheel of Fortune,,1987,,nes,ROM cart,,marko
Računalniška igra,Nintendo,The Legend of Zelda: Four Swords Adventures,,2004,,gamecube,GameCube Game Disc,,marko
Računalniška igra,Namco,Smashing Drive,,2002,,gamecube,GameCube Game Disc,,marko
Računalniška igra,Lucas Arts,Star Wars the Clone Wars,,2002,,gamecube,GameCube Game Disc,,marko
Računalniška igra,Lucas Arts,Star Wars Rebel Strinke Rogue Squadron III,,2003,,gamecube,GameCube Game Disc,,marko
Računalniška igra,Lucas Arts,Star Wars Bounty Hunter,,2002,,gamecube,GameCube Game Disc,,marko
Računalniška igra,Lucas Arts,Star Wars Rogue Leader Rogue Squadron II,,2001,,gamecube,GameCube Game Disc,,marko
Računalniška igra,Nintendo,Super Mario Sunshine,,2002,,gamecube,GameCube Game Disc,,marko
Računalniška igra,Acclaim,Turok: Evolution,,2002,,gamecube,GameCube Game Disc,,marko
Računalniška igra,Nintendo,Nintendo GameCube preview DVD playable on DVD player or PC with DVD drive,,2002,,pc,DVD,,marko
Računalniška igra,Titus,Top Gun Combat Zones,,2002,,gamecube,GameCube Game Disc,,marko
