eksponat,leto,1,2,3,4,5,6,7,8,9,10,11,12
PC & mediji CD,1999,x,x,x,x,poškodovan,x,x,x,x,,x,x
PC & mediji CD,2000,x,x,x,x,x,x,x,x,x,x,x,x
PC & mediji CD,2001,x,x,x,x,x,x,x,x,x,x,x,x
PC & mediji CD,2002,x,x,x,x,x,x,x,zadnji,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Joker Tlačenka,2004,,,,,,,x,,,,,
Joker Tlačenka,2005,,,,,x,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Joker PDF,1992,,,,,x,,,,,,,
Joker PDF,1993,,,,,,,,,x,x,x,x
Joker PDF,1994,x,x,x,x,x,x,x,,x,x,,
Joker PDF,1995,,,,,,,,,,,,
Joker PDF,1996,,,,,,,,,,,,
Joker PDF,1997,,,,,,,,,,,,
Joker PDF,1998,,,,,,,,,,,,
Joker PDF,1999,,,,,,,,,,,,
Joker PDF,2000,,,,,,,,,,,,
Joker PDF,2001,,,,,,,,,,,,
Joker PDF,2002,,,,,,,,,,,,
Joker PDF,2003,,,,,,,,,,,,
Joker PDF,2004,,,,,,,,,,,,
Joker PDF,2005,,,,,,,,,,,,
Joker PDF,2006,x,x,x,x,x,x,x,x,x,x,x,x
Joker PDF,2007,x,x,x,x,x,x,x,x,x,x,x,x
Joker PDF,2008,x,x,x,x,x,x,x,x,x,x,x,x
Joker PDF,2009,x,x,x,x,x,x,x,x,x,x,x,x
Joker PDF,2010,x,x,x,x,x,x,x,x,x,x,x,x
Joker PDF,2011,x,x,x,x,x,x,x,x,x,x,x,x
Joker PDF,2012,x,x,x,x,x,x,x,x,x,x,x,x
Joker PDF,2013,x,x,x,x,x,x,x,x,x,x,x,x
Joker PDF,2014,x,x,x,x,x,x,x,x,x,x,x,x
Joker PDF,2015,x,x,x,x,x,x,x,x,x,x,x,x
Joker PDF,2016,x,x,x,x,x,x,x,x,x,x,x,x
Joker PDF,2017,x,x,x,x,x,x,x,x,x,x,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ESC CD,2003,,,,,x,,,,,,,
,,,,,,,,,,,,,
Mojmikro DVD,2007,,,,,x,,,,,,,
Mojmikro DVD,2008,,,,,x,,,,,,,
Mojmikro CD,2003,,,,,,,x,,x,,,
Mojmikro CD,2004,,,,x,,,,,,,,
,,,,,,,,,,,,,
Monitor dvd,2007,,,,x,,,,,,,x,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Joker Tlačenka,"104, 117, 72, 84",,,,,,,,,,,,
Joker Natlačenka,2010,,x,x,,,,,,,,,
,,,,,,,,,,,,,
Monitor pro PDF,2010,,,,,,,,,,x,,
Monitor pro PDF,2011,x,,,x,,,x,,,x,,
Monitor pro PDF,2012,x,,,x,,,x,,,x,,
Monitor pro PDF,2013,x,,,x,,,x,,,x,,
Monitor pro PDF,2014,x,,x,,x,,x,,x,,x,
Monitor pro PDF,2015,x,,x,,x,,x,,x,,x,
Monitor pro PDF,2016,x,,x,,x,,,,,,,
,,,,,,,,,,,,,
Monitor PDF,2001,x,x,x,x,x,x,x,x,x,x,x,x
Monitor PDF,2002,x,x,x,x,x,x,x,x,x,x,x,x
Monitor PDF,2003,x,x,x,x,x,x,x,x,x,x,x,x
Monitor PDF,2004,,x,,x,,,,,,x,,
Monitor PDF,2005,x,,,x,x,,,,,,x,
Monitor PDF,2006,,,x,x,,,x,,,x,,
Monitor PDF,2007,x,,,,,x,,,x,,,
Monitor PDF,2008,,x,,x,,x,,,x,,x,x
Monitor PDF,2009,x,,,,,x,x,,x,x,x,x
Monitor PDF,2010,x,x,,x,,,,,,,x,x
