pdf	cover	pages	dir
informatica-Vol_42,_No_4_2018.pdf	informatica-Vol_42,_No_4_2018/00000000.jpg	156	informatica
informatica-Vol_43,_No_1_2019.pdf	informatica-Vol_43,_No_1_2019/00000000.jpg	156	informatica
informatica-Vol_43,_No_2_2019.pdf	informatica-Vol_43,_No_2_2019/00000000.jpg	162	informatica
informatica-Vol_43,_No_3_2019.pdf	informatica-Vol_43,_No_3_2019/00000000.jpg	124	informatica
informatica-Vol_43,_No_4_2019.pdf	informatica-Vol_43,_No_4_2019/00000000.jpg	168	informatica
informatica-Vol_44,_No_1_2020.pdf	informatica-Vol_44,_No_1_2020/00000000.jpg	118	informatica
informatica-Vol_44,_No_2_2020.pdf	informatica-Vol_44,_No_2_2020/00000000.jpg	184	informatica
informatica-Vol_44,_No_3_2020.pdf	informatica-Vol_44,_No_3_2020/00000000.jpg	120	informatica
informatica-Vol_44,_No_4_2020.pdf	informatica-Vol_44,_No_4_2020/00000000.jpg	132	informatica
informatica-Vol_45,_No_1_2021.pdf	informatica-Vol_45,_No_1_2021/00000000.jpg	182	informatica
informatica-Vol_45,_No_2_2021.pdf	informatica-Vol_45,_No_2_2021/00000000.jpg	148	informatica
informatica-Vol_45,_No_3_2021.pdf	informatica-Vol_45,_No_3_2021/00000000.jpg	180	informatica
informatica-Vol_45,_No_4_2021.pdf	informatica-Vol_45,_No_4_2021/00000000.jpg	174	informatica
informatica-Vol_5,_No_1_1981.pdf	informatica-Vol_5,_No_1_1981/00000000.jpg	99	informatica
informatica-Vol_5,_No_2_1981.pdf	informatica-Vol_5,_No_2_1981/00000000.jpg	95	informatica
informatica-Vol_5,_No_3_1981.pdf	informatica-Vol_5,_No_3_1981/00000000.jpg	93	informatica
informatica-Vol_5,_No_4_1981.pdf	informatica-Vol_5,_No_4_1981/00000000.jpg	93	informatica
informatica-Vol_6,_No_1_1982.pdf	informatica-Vol_6,_No_1_1982/00000000.jpg	89	informatica
informatica-Vol_6,_No_2_1982.pdf	informatica-Vol_6,_No_2_1982/00000000.jpg	87	informatica
informatica-Vol_6,_No_3_1982.pdf	informatica-Vol_6,_No_3_1982/00000000.jpg	83	informatica
informatica-Vol_6,_No_4_1982.pdf	informatica-Vol_6,_No_4_1982/00000000.jpg	90	informatica
informatica-Vol_7,_No_1_1983.pdf	informatica-Vol_7,_No_1_1983/00000000.jpg	85	informatica
informatica-Vol_7,_No_2_1983.pdf	informatica-Vol_7,_No_2_1983/00000000.jpg	86	informatica
informatica-Vol_7,_No_3_1983.pdf	informatica-Vol_7,_No_3_1983/00000000.jpg	86	informatica
informatica-Vol_7,_No_4_1983.pdf	informatica-Vol_7,_No_4_1983/00000000.jpg	95	informatica
informatica-Vol_8,_No_1_1984.pdf	informatica-Vol_8,_No_1_1984/00000000.jpg	90	informatica
informatica-Vol_8,_No_2_1984.pdf	informatica-Vol_8,_No_2_1984/00000000.jpg	85	informatica
informatica-Vol_8,_No_3_1984.pdf	informatica-Vol_8,_No_3_1984/00000000.jpg	83	informatica
informatica-Vol_8,_No_4_1984.pdf	informatica-Vol_8,_No_4_1984/00000000.jpg	101	informatica
informatica-Vol_9,_No_1_1985.pdf	informatica-Vol_9,_No_1_1985/00000000.jpg	91	informatica
informatica-Vol_9,_No_2_1985.pdf	informatica-Vol_9,_No_2_1985/00000000.jpg	101	informatica
informatica-Vol_9,_No_3_1985.pdf	informatica-Vol_9,_No_3_1985/00000000.jpg	96	informatica
informatica-Vol_9,_No_4_1985.pdf	informatica-Vol_9,_No_4_1985/00000000.jpg	376	informatica
