GENERACIJA,ZAPOREDNI,KOLICINA,LETO,PROIZVAJALEC,MODEL,OPOMBE,TIP,UPORABA,LASTNISTVO,NOSILEC,KRAJ,PARTNER,DOSTOP,VIRI
D,,1,1970,IBM,IBM 360/25,,e,o,L,Fructal,Ajdovščina,,Primorje,"70/10, 70/14, 70/29, 71/08"
D,,1,1970,IBM,IBM 360/20,,e,o,L,KK Žalec - Kmetijski kombinat,Zalec,,"Etol, MERX, Skupščina občine Celje, Komunalno podjetje Celje","68/08, 69/20, 70/09, 71/08, 71/55, 72/04, 72/13, 76/02, 76/54, 81/01"
D,,1,1970,IBM,IBM 360/25,,e,o,L,Lisca,Sevnica,,Jutranjka,"70/04, 71/08, 72/13, 74/36, RII/01"
D,4,1,1970,IBM,IBM 360/25,,e,o,L,Iskra Elektromehanika,Kranj,,,"70/03, 70/19, 70/37, 71/08"
C,,1,1970,PHILIPS,PHILIPS Data 8000,,me,o,L,Iskra Commerce,Ljubljana,,SPIZ - Skupnost za pokojninsko in invalidsko zavarovanje,"70/47, 77/07"
C,,1,1970,PHILIPS,PHILIPS Data 8000,,me,o,L,Kontekstobus,Ljubljana,,,70/49
C,,1,1970,PHILIPS,PHILIPS Data 8000,,me,o,L,Pionir,Novo Mesto,,,"69/18, PIO/01, 70/21, 70/22, 70/40"
C,,1,1970,PHILIPS,PHILIPS Data 8000,,me,o,L,GLIN - Gozdarstvo in lesna industrija Nazarje,Nazarje,,,"70/54, 73/06"
C,,1,1970,PHILIPS,PHILIPS Data 8000,,me,o,L,Autocommerce,Ljubljana,,,"70/48, 72/57"
C,,1,1970,Kienzle,KIENZLE 6000,,me,o,L,Železarna Ravne,Ravne,,,"71/04, 69/37, 71/25, 72/18, 73/09"
C,2,1,1971,CDC,CDC 6400,v Iskra CAOP,E,R,S,RRC Stegne - Republiški računski center,Ljubljana,"Iskra, Izvršni svet SRS, IJS - Inštitut Jožef Stefan, Univerza v Ljubljani, Združenje gozdnogospodarskih podjetij, GP Obnova - Gradbeno podjetje, Ljubljanske mlekarne, Izobraževalna skupnost SRS",Zavod za statistiko SRS,"70/36, 71/03, 71/43, 71/51"
,,,1971,neznan,neznan,6-9 deležnikov,t,R,T,,,,,
E,3,1,1971,DEC,DEC PDP 8,,me,J,L,Zavod za statistiko SRS,Ljubljana,,,78/19
,,12,1971,CCL,CCL Key-Edit ,(vnosni terminali) lokalni,t,J,T,Zavod za statistiko SRS,Maribor,,,"71/13, 71/30, 78/19"
C,,1,1971,PHILIPS,PHILIPS Data 8000,,me,o,L,Ingrad,Celje,,,71/40
C,2,1,1971,PHILIPS,PHILIPS Data 8000,,me,o,L,Pionir,Novo Mesto,,,"PIO/01, 70/22"
D,2,1,1971,IBM,IBM 360/25,sodelujejo tudi primorska stanovanjska podjetja,e,o,S,Tomos - Tovarna motorjev Sežana,Koper,"Intereuropa, Luka Koper","Delamaris, Skupščina občine Koper, SGP Stavbenik - Splošno gradbeno podjetje, Palace Hotel, Mehanotenika, Agraria","71/08, 71/49, 72/11, 74/22, 77/19, RII/01, IEU/01"
D,,1,1971,IBM,IBM 360/25,,e,o,L,Mladinska knjiga,Ljubljana,,Delo,"71/08, 71/28"
D,,1,1971,IBM,IBM 360/25,,e,o,L,Krka,Novo Mesto,,Novoles,"69/33, 69/34, 70/20, 71/08, 71/17, 72/07, 73/11"
D,,1,1971,IBM,IBM 360/25,,e,o,L,Lek,Ljubljana,,,71/08
D,,1,1971,IBM,IBM 360/25,,e,o,L,Jugotekstil impex,Ljubljana,,,"71/08, RII/01"
D,,1,1971,IBM,IBM 360/25,,e,J,L,"PTT Računski center - Pošta, telegraf in telefon",Ljubljana,,,"71/08, 74/43"
D,,1,1971,IBM,IBM 360/25,,e,o,L,EGM - Elektrogospodarstvo Maribor,Maribor,,"Zavarovalnica Maribor, KBH Maribor - Kreditna banka in hranilnica, ZZSZ Maribor - Zavod za zdravstveno in socialno zavarovanje","72/54, PKZ/01"
D,4,1,1971,IBM,IBM 360/40,,e,P,S,ECM - Ekonomski center Maribor,Maribor,"TAM - Tovarna avtomobilov Maribor, MTT - Mariborska tekstilna tovarna, Mariborska livarna, Zlatorog, Splošna bolnišnica Maribor",,"68/28, 70/06, 70/45, 71/08, 84/39, PKZ/01"
D,,1,1971,IBM,IBM 360/40,,e,P,L,Intertrade Računski center,Ljubljana,,"Železarna Ravne, RZS Ljubljana - Regionalna zdravstvena skupnost","71/08, 71/29, 73/09, SDMI/03, 75/32"
X,,1,1971,IBM,IBM 1130,,me,o,L,Agrotehnika,Ljubljana,,,71/67
D,,1,1971,IBM,IBM 1130,,me,o,L,TGA - Tovarna glinice in aluminija,Kidričevo,,,"70/41, 71/16, 72/19, 74/17"
D,,1,1971,IBM,IBM 1130 ,(prosto dostopen na FE),me,R,L,RCU - Računalniški center Univerze v Ljubljani,Ljubljana,,,"74/50, UNI/01, FRI/01, INF/03"
C,2,2,1971,CDC,CDC 1700,,me,R,S,RCU - Računalniški center Univerze v Ljubljani,Ljubljana,IJS - Inštitut Jožef Stefan,,"71/65, INF/03"
C,,1,1971,NIXDORF,NIXDORF neznan,,me,J,L,Skupščina občine Maribor,Maribor,,,"PKZ/01, 71/36"
C,,1,1971,NIXDORF,NIXDORF neznan,(820/35?),me,o,L,Špedtrans,Maribor,,,"71/11, 73/19, PKZ/01"
C,,2,1971,NIXDORF,NIXDORF 820/25,poslovalnica Agropromet,me,o,L,MERX,Celje,,,"70/01, 71/06, 71/07, 72/13"
