dejavnost,ime,spol,naziv,opis
FRI,Roman Dorn,,as. dr.,"učitelji, asistenti, raziskovalci 1996–2010"
FRI,Roman Zidarič,,as. mag.,"učitelji, asistenti, raziskovalci 2001"
FRI,Sanja Fidler,z,as. dr.,"učitelji, asistenti, raziskovalci 2002–2011"
FRI,Saša Divjak,,prof. dr.,"učitelji, asistenti, raziskovalci 1996–2013"
FRI,Sebastijan Šprager,,as. dr.,"učitelji, asistenti, raziskovalci 2014–"
FRI,Simon Vrhovec,,as.,"učitelji, asistenti, raziskovalci 2010–2014"
FRI,Simon-Peter Vavpotič,,mag.,"učitelji, asistenti, raziskovalci 2001–2002"
FRI,Slavko Drnovšček,,as. mag.,"učitelji, asistenti, raziskovalci 2002–2006"
FRI,Slavko Krapež,,mag.,"učitelji, asistenti, raziskovalci 1999"
FRI,Slavko Žitnik,,as. dr.,"učitelji, asistenti, raziskovalci 2014–"
FRI,Štefan Furlan,,dr.,"učitelji, asistenti, raziskovalci 2006–2013"
FRI,Tadej Janež,,as.,"učitelji, asistenti, raziskovalci 2008–2013"
FRI,Tadej Novak,,mag.,"učitelji, asistenti, raziskovalci 2007–2008"
FRI,Tadej Zupančič,,as.,"učitelji, asistenti, raziskovalci 2005–2014"
FRI,Tatjana Zrimec,z,izr. prof. dr.,"učitelji, asistenti, raziskovalci 1996–2001"
FRI,Timotej Lazar,,as.,"učitelji, asistenti, raziskovalci 2012–"
FRI,Tine Lesjak,,as.,"učitelji, asistenti, raziskovalci 2009–2011"
FRI,Tom Vodopivec,,as.,"učitelji, asistenti, raziskovalci 2014–"
FRI,Tomaž Curk,,doc. dr.,"učitelji, asistenti, raziskovalci 2003–"
FRI,Tomaž Degen,,as.,"učitelji, asistenti, raziskovalci 1997–2000"
FRI,Tomaž Dobravec,,doc. dr.,"učitelji, asistenti, raziskovalci 1999–"
FRI,Tomaž Hočevar,,as.,"učitelji, asistenti, raziskovalci 2012–"
FRI,Tomaž Hovelja,,doc. dr.,"učitelji, asistenti, raziskovalci 2001–"
FRI,Tomaž Mohorič,,doc. dr.,"učitelji, asistenti, raziskovalci 1996–2006"
FRI,Tomaž Slivnik,,dr.,"učitelji, asistenti, raziskovalci 1996–1998"
FRI,Tomo Jarc,,as. mag.,"učitelji, asistenti, raziskovalci 1996–1996"
FRI,Tone Vidmar,,doc. dr.,"učitelji, asistenti, raziskovalci 1996–2010"
FRI,Uroš Čibej,,as. dr.,"učitelji, asistenti, raziskovalci 2003–"
FRI,Uroš Lotrič,,izr. prof. dr.,"učitelji, asistenti, raziskovalci 1999–"
FRI,Uroš Pompe,,dr.,"učitelji, asistenti, raziskovalci 1996–1999"
FRI,Veljko Pejović,,doc. dr.,"učitelji, asistenti, raziskovalci 2015–"
FRI,Veselko Guštin,,izr. prof. dr.,"učitelji, asistenti, raziskovalci 1996–2012"
FRI,Vesna Tanko,z,as.,"učitelji, asistenti, raziskovalci 2015–"
FRI,Vida Groznik,z,as.,"učitelji, asistenti, raziskovalci 2010-2014"
FRI,Vida Groznik,z,as.,strokovne službe  2014–
